,user_id,keywords_by_frequency,keywords_by_similarity
77,0...,좋다 예쁘다 색깔 입다 계절,예쁘다 느낌 생각
78,0.01%,예쁘다 구매 입다 좋다 편하다,예쁘다 구매 생각
79,0.2_,입다 좋다 귀엽다 구매 예쁘다,귀엽다 사다 느낌
80,00 음... 어디보자~,좋다 사이즈 색깔 디자인 적당하다,느낌 사다 코디
81,00000040,예쁘다 좋다 입다 색깔 길이,예쁘다 느낌 생각
82,0000082,좋다 예쁘다 입다 계절 사이즈,예쁘다 좋다 느낌
83,0001200,좋다 배송 감사하다 빠르다 예쁘다,귀엽다 좋다 생각
84,000126,좋다 예쁘다 색깔 입다 얇다,느낌 생각 예쁘다
85,00030,좋다 귀엽다 얇다 크다 반지,귀엽다 느낌 사다
86,00224,좋다 만족 색깔 허리 크다,느낌 사다 코디
87,002yh02,예쁘다 추천 좋다 크다 재질,예쁘다 느낌 코디
88,00323,좋다 배송 빠르다 싸다 구매,좋다 귀엽다 느낌
89,0040막,좋다 입다 구매 무탠다드 계절,좋다 사다 생각
90,007DC,깔끔하다 디자인 가볍다 좋다 사이즈,디자인 생각 사다
91,0099oo,좋다 구매 계절 강추 가성비,좋다 느낌 사다
92,00__jj,좋다 구매 입다 가성비 사이즈,사다 느낌 코디
93,00오잉00,예쁘다 입다 좋다 길이 색깔,예쁘다 괜찮다 코디
94,00지구00,구매 좋다 색깔 예쁘다 사이즈,느낌 코디 사다
95,0100110,좋다 무난 예쁘다 색깔 구매,느낌 코디 사다
96,01020304,편하다 좋다 색깔 배송 싸다,편하다 생각 느낌
97,010311,나쁘다 무난 좋다 크다 적당하다,사다 코디 느낌
98,010굿럭,사이즈 동일하다 화면 상품 좋다,느낌 사다 사이즈
99,0112233,입다 좋다 구매 사이즈 계절,사다 생각 느낌
100,01240124,좋다 예쁘다 구매 입다 색깔,예쁘다 느낌 코디
101,01650039,좋다 구매 사이즈 예쁘다 색깔,좋다 예쁘다 사다
102,01년생 승원,예쁘다 입다 좋다 적당하다 색깔,예쁘다 느낌 코디
103,01보,귀엽다 좋다 양말 구매 색깔,귀엽다 느낌 예쁘다
104,01빈,예쁘다 좋다 구매 입다 색깔,예쁘다 느낌 코디
105,01큐종,좋다 구매 예쁘다 요가 가성비,예쁘다 좋다 사다
106,02020202002,좋다 느낌 예쁘다 색깔 편하다,느낌 코디 사다
107,020818,좋다 예쁘다 입다 만족 구매,예쁘다 느낌 생각
108,022155,입다 계절 좋다 프린팅 길이,생각 입다 괜찮다
109,02356,만족 좋다 사이즈 구매 예쁘다,느낌 사다 예쁘다
110,02young_,예쁘다 좋다 구매 편하다 입다,예쁘다 느낌 코디
111,0303m,예쁘다 좋다 추천 구매 강추,예쁘다 느낌 구매
112,031231,예쁘다 좋다 만족 구매 최고,예쁘다 느낌 코디
113,03125,예쁘다 가격 색깔 좋다 입다,예쁘다 느낌 코디
114,0317s,좋다 치수 크기 색깔 길이,좋다 생각 느낌
115,0320abc,좋다 예쁘다 구매 입다 편하다,예쁘다 좋다 괜찮다
116,03301,입다 좋다 색깔 예쁘다 사이즈,예쁘다 생각 사다
117,0381938,예쁘다 좋다 자주 입다 색깔,예쁘다 느낌 생각
118,03_dnjs,입다 좋다 예쁘다 구매 재질,느낌 예쁘다 사다
119,03d_.0,좋다 입다 배송 색깔 두껍다,좋다 생각 귀엽다
120,03h,입다 좋다 예쁘다 편하다 살짝,느낌 예쁘다 사다
121,0400,좋다 예쁘다 만족 길이 포인트,느낌 예쁘다 코디
122,040401s,입다 좋다 색깔 예쁘다 바지,생각 예쁘다 사다
123,04072206,좋다 입다 예쁘다 가격 편하다,예쁘다 좋다 사다
124,0416.J,좋다 색깔 입다 구매 예쁘다,느낌 코디 사다
125,04281545,좋다 상품 품질 배송 빠르다,좋다 생각 귀엽다
126,0472818,예쁘다 좋다 필수 입다 계절,예쁘다 느낌 코디
127,04_29._.br,예쁘다 좋다 색깔 입다 구매,예쁘다 느낌 코디
128,04e3,예쁘다 만족 좋다 입다 색깔,느낌 예쁘다 코디
129,04sjy03,예쁘다 입다 좋다 살짝 배송,예쁘다 느낌 생각
130,04wltjs04,좋다 입다 구매 예쁘다 넉넉하다,생각 사다 예쁘다
131,05 syyu,예쁘다 동일하다 최고 좋다 입다,예쁘다 느낌 코디
132,05 옷알못,좋다 편하다 사이즈 입다 원하다,좋다 코디 생각
133,0516.,좋다 피부 구매 지속 표현,좋다 사다 괜찮다
134,06.l1,예쁘다 좋다 구매 입다 색깔,예쁘다 느낌 코디
135,0607jangjh,예쁘다 살짝 괜찮다 좋다 색깔,느낌 예쁘다 코디
136,06104,좋다 배송 구매 빠르다 입다,귀엽다 좋다 사다
137,06X22,좋다 예쁘다 크다 색깔 입다,느낌 예쁘다 코디
138,070202,구매 편하다 예쁘다 좋다 입다,예쁘다 느낌 사다
139,0706joy,좋다 입다 구매 예쁘다 무난,느낌 사다 예쁘다
140,07joon,좋다 예쁘다 괜찮다 색깔 사이즈,괜찮다 예쁘다 느낌
141,08028,좋다 예쁘다 색깔 느낌 냄새,느낌 예쁘다 코디
142,0820jin,좋다 입다 색깔 크다 만족,느낌 생각 코디
143,0902욜로,구매 예쁘다 신다 입다 좋다,느낌 사다 예쁘다
144,0914HM1025,좋다 예쁘다 입다 구매 색깔,예쁘다 느낌 생각
145,098764,좋다 색깔 사이즈 적당하다 구매,느낌 귀엽다 괜찮다
146,099999,좋다 색깔 입다 넉넉하다 예쁘다,느낌 사다 코디
147,09AN,좋다 순하다 예쁘다 입다 괜찮다,좋다 괜찮다 사다
148,09_11,좋다 사이즈 입다 예쁘다 괜찮다,예쁘다 사다 생각
149,09즐라탄이브라히모비치,색깔 좋다 깔끔하다 만족 재질,코디 느낌 사다
150,0Mm_.odo.3,좋다 예쁘다 입다 구매 배송,예쁘다 생각 느낌
151,0SUN0,좋다 편하다 색깔 예쁘다 입다,사다 느낌 좋다
152,0_01234,좋다 구매 색깔 길이 동일하다,느낌 코디 사다
153,0_6,좋다 색깔 실제 예쁘다 모자,코디 느낌 사다
154,0__2xs,좋다 색깔 예쁘다 후드 소재,느낌 코디 사다
155,0_________0,좋다 구매 저렴하다 무난 입다,예쁘다 구매 좋다
156,0_da,예쁘다 구매 색깔 좋다 귀엽다,느낌 예쁘다 귀엽다
157,0_geun,예쁘다 구매 입다 좋다 사진,예쁘다 느낌 코디
158,0_wooooooooooo,입다 구매 예쁘다 느낌 좋다,느낌 코디 예쁘다
159,0_zoooo,예쁘다 구매 입다 크다 좋다,예쁘다 느낌 코디
160,0_“,예쁘다 좋다 괜찮다 색깔 길이,느낌 예쁘다 코디
161,0dumb,좋다 예쁘다 입다 계절 넉넉하다,예쁘다 코디 좋다
162,0epi1,좋다 구매 만족 착용 귀엽다,사다 느낌 코디
163,0gyuni,좋다 구매 예쁘다 괜찮다 길이,느낌 예쁘다 생각
164,0hj7,좋다 예쁘다 디자인 사이즈 크다,느낌 예쁘다 코디
165,0hwanee,좋다 만족 입다 색깔 구매,사다 느낌 코디
166,0in_k_,좋다 색깔 입다 예쁘다 적당하다,예쁘다 느낌 사다
167,0kins,구매 후드 집업 기대 사이즈,구매 코디 사다
168,0kr,좋다 구매 부드럽다 입다 크다,느낌 귀엽다 사다
169,0l_chaewon,예쁘다 좋다 색깔 입다 편하다,예쁘다 느낌 코디
170,0m2h,예쁘다 좋다 입다 색깔 디자인,예쁘다 느낌 코디
171,0mgnsk___1121,예쁘다 좋다 디자인 어울리다 아쉽다,예쁘다 좋다 느낌
172,0min22,구매 좋다 만족 색깔 입다,느낌 사다 코디
173,0pen_the_cl0set,좋다 사이즈 깔끔하다 크다 아이템,코디 느낌 사다
174,0qop0,좋다 구매 믿다 항상 입다,예쁘다 좋다 사다
175,0sezero,입다 예쁘다 좋다 구매 프린팅,예쁘다 사다 느낌
176,0sikmarrang,좋다 사이즈 길이 넉넉하다 예쁘다,느낌 사다 예쁘다
177,0ss,좋다 구매 배송 사이즈 색깔,느낌 귀엽다 생각
178,0too,좋다 만족 구매 색깔 느낌,느낌 사다 좋다
179,0w0b,입다 좋다 구매 크다 적당하다,느낌 사다 코디
180,0wert,예쁘다 좋다 색깔 입다 넉넉하다,예쁘다 생각 코디
181,0winter0,좋다 예쁘다 색깔 입다 계절,예쁘다 느낌 생각
182,0괴물0,좋다 예쁘다 색깔 구매 재질,예쁘다 느낌 코디
183,0뚜찌빠찌0,좋다 예쁘다 입다 색깔 길이,느낌 예쁘다 코디
184,0몽돌0,배송 빠르다 좋다 편하다 구매,좋다 귀엽다 퀄리티
185,0소우주0,좋다 예쁘다 색깔 사이즈 편하다,느낌 예쁘다 코디
186,0오니즈카0,좋다 색깔 추천 상품 괜찮다,좋다 괜찮다 사다
187,0쟈니0,좋다 입다 크다 색깔 예쁘다,좋다 사다 예쁘다
188,0준이형,좋다 무난 가격 싸다 괜찮다,사다 느낌 좋다
189,0짱나라0,배송 빠르다 좋다 사이즈 구매,귀엽다 생각 좋다
190,0찬,구매 좋다 색깔 사이즈 가성비,구매 느낌 사다
191,0피르미누0,좋다 구매 가성비 추천 고민,좋다 구매 예쁘다
192,0황도0,예쁘다 입다 좋다 사이즈 따뜻하다,예쁘다 느낌 생각
193,0휴일,좋다 입다 구매 귀엽다 색깔,사다 귀엽다 느낌
194,1 4,좋다 편하다 구매 적당하다 입다,사다 느낌 코디
195,1+1=!!,좋다 가격 입다 구매 사이즈,좋다 사다 생각
196,1.618033988,구매 좋다 입다 사이즈 편하다,구매 사다 좋다
197,1000001,좋다 재질 가격 무난 디자인,좋다 사다 코디
198,10000JA,예쁘다 좋다 입다 사이즈 크다,예쁘다 느낌 코디
199,1000_ys,예쁘다 구매 사이즈 좋다 입다,예쁘다 느낌 코디
200,1000ㅎㅈ,좋다 예쁘다 사이즈 구매 편하다,예쁘다 귀엽다 느낌
201,1000규,좋다 구매 예쁘다 편하다 냄새,좋다 구매 사다
202,1000만원,예쁘다 감사하다 좋다 구매 배송,예쁘다 좋다 생각
203,1000프,구매 좋다 예쁘다 크다 색깔,예쁘다 느낌 코디
204,1004ye,좋다 계절 구매 신다 길이,좋다 괜찮다 느낌
205,1004희야,좋다 입다 구매 길이 넉넉하다,사다 생각 괜찮다
206,100G1,좋다 예쁘다 구매 색깔 입다,느낌 예쁘다 사다
207,100_js_,느낌 좋다 니트 입다 계절,느낌 코디 사다
208,100m공유,좋다 구매 색깔 입다 예쁘다,예쁘다 느낌 사다
209,100ㅇㅈ,좋다 구매 만족 예쁘다 입다,느낌 예쁘다 사다
210,100서현,좋다 색깔 구매 재질 무난,느낌 사다 코디
211,100프로자연미인,예쁘다 좋다 입다 구매 디자인,예쁘다 느낌 코디
212,102,좋다 입다 구매 사이즈 살짝,사다 살짝 좋다
213,1020292929,예쁘다 좋다 구매 색깔 입다,예쁘다 느낌 코디
214,1029476,구매 입다 좋다 작다 어깨,사다 코디 느낌
215,102TV,좋다 구매 사이즈 계절 상품,좋다 괜찮다 느낌
216,1030D,입다 편하다 만족 좋다 구매,사다 생각 예쁘다
217,1038485,예쁘다 구매 좋다 바지 가성비,예쁘다 느낌 코디
218,103rmv,사이즈 좋다 적당하다 입다 색깔,예쁘다 느낌 생각
219,10639,예쁘다 좋다 입다 깔끔하다 구매,느낌 예쁘다 코디
220,107T,좋다 원단 최고 배송 빠르다,좋다 생각 사다
221,108945632,예쁘다 좋다 구매 입다 크다,예쁘다 느낌 코디
222,108호,좋다 예쁘다 만족 구매 입다,예쁘다 느낌 코디
223,1092828,좋다 만족 괜찮다 색깔 시원하다,코디 느낌 사다
224,10J,좋다 가성비 입다 색깔 구매,느낌 사다 코디
225,10V2U2,예쁘다 좋다 색깔 구매 디자인,느낌 코디 예쁘다
226,10_16,좋다 신다 입다 사이즈 예쁘다,사다 신다 느낌
227,10chang,예쁘다 구매 사이즈 저렴하다 좋다,예쁘다 구매 느낌
228,10stone,구매 감사하다 좋다 가격 배송,구매 느낌 귀엽다
229,10년차 몬베베,예쁘다 좋다 입다 크다 편하다,예쁘다 느낌 코디
230,10분거리,예쁘다 좋다 떨어지다 입다 디자인,예쁘다 느낌 코디
231,10우,좋다 편하다 신다 입다 예쁘다,예쁘다 좋다 편하다
232,10월마지막밤,추천 예쁘다 구매 최고 싸다,추천 예쁘다 구매
233,11.10kg,좋다 넉넉하다 느낌 색깔 예쁘다,느낌 코디 예쁘다
234,11024,좋다 사이즈 구매 색깔 길이,좋다 사다 예쁘다
235,110283,좋다 가격 배송 싸다 사이즈,좋다 귀엽다 생각
236,111019,좋다 색깔 예쁘다 사이즈 살짝,느낌 코디 사다
237,1111112비,예쁘다 좋다 입다 색깔 사이즈,예쁘다 느낌 사다
238,111134별,좋다 구매 편하다 사이즈 예쁘다,느낌 사다 코디
239,1111sq,느낌 좋다 살짝 예쁘다 짧다,느낌 코디 살짝
240,1123123,구매 좋다 색깔 계절 할인,구매 사다 느낌
241,11300_,좋다 예쁘다 입다 만족 크다,느낌 예쁘다 사다
242,113355,좋다 색깔 구매 입다 예쁘다,귀엽다 느낌 사다
243,11382321,좋다 배송 빠르다 색깔 사이즈,좋다 귀엽다 느낌
244,1165대장,좋다 예쁘다 만족 따뜻하다 가성비,좋다 예쁘다 생각
245,119-,좋다 예쁘다 구매 디자인 깔끔하다,예쁘다 느낌 코디
246,119EMT,좋다 사이즈 만족 두께 양말,느낌 사다 생각
247,11ㄱ11,좋다 편하다 입다 길이 신다,사다 느낌 코디
248,11ㄴ11,예쁘다 입다 계절 좋다 디자인,느낌 예쁘다 코디
249,11시5분,좋다 재질 적당하다 만족 가격,좋다 사다 느낌
250,11월.,좋다 계절 얇다 크다 살짝,좋다 살짝 생각
251,12*one,좋다 구매 입다 재질 크다,느낌 사다 코디
252,1212413,좋다 구매 크다 입다 배송,사다 느낌 좋다
253,121299,예쁘다 좋다 구매 입다 믿다,예쁘다 느낌 생각
254,1212gangang,좋다 예쁘다 색깔 구매 편하다,예쁘다 느낌 생각
255,121548,좋다 구매 예쁘다 입다 귀엽다,예쁘다 느낌 귀엽다
256,1215원,입다 좋다 사이즈 구매 만족,사다 귀엽다 느낌
257,122221,좋다 넉넉하다 구매 색깔 사이즈,느낌 사다 예쁘다
258,1226무,좋다 배송 빠르다 예쁘다 품질,좋다 귀엽다 예쁘다
259,122801,예쁘다 좋다 시원하다 크다 얇다,예쁘다 느낌 사다
260,123013,좋다 만족 사이즈 느낌 괜찮다,느낌 코디 사다
261,123123123141551,좋다 입다 예쁘다 구매 편하다,좋다 예쁘다 사다
262,1231kg,좋다 예쁘다 구매 가격 색깔,좋다 사다 괜찮다
263,123311w,좋다 구매 편하다 만족 퀄리티,느낌 사다 코디
264,12345432,구매 좋다 예쁘다 입다 계절,느낌 예쁘다 코디
265,123456788,좋다 입다 색깔 예쁘다 만족,생각 사다 예쁘다
266,123456no,좋다 예쁘다 구매 입다 색깔,예쁘다 좋다 사다
267,12356,좋다 두께 살짝 입다 시원하다,좋다 살짝 사다
268,123947,좋다 예쁘다 가격 계절 디자인,예쁘다 느낌 사다
269,123o,예쁘다 입다 색깔 만족 구매,예쁘다 느낌 코디
270,123ㄱㄴㄷ456,좋다 배송 예쁘다 빠르다 디자인,좋다 귀엽다 예쁘다
271,123오잉,좋다 구매 귀엽다 색깔 탄탄하다,귀엽다 사다 느낌
272,12503,좋다 예쁘다 색깔 구매 얇다,느낌 예쁘다 사다
273,12gergima,구매 좋다 넉넉하다 색깔 입다,사다 느낌 구매
274,12qwe34,좋다 배송 빠르다 예쁘다 사이즈,좋다 느낌 생각
275,12swoo,예쁘다 좋다 입다 사이즈 어울리다,예쁘다 생각 코디
276,12ㄱㅎ21,입다 예쁘다 구매 색깔 사이즈,느낌 예쁘다 코디
277,12다비,좋다 예쁘다 입다 신다 길이,예쁘다 사다 코디
278,131312,예쁘다 구매 좋다 고민 강추,예쁘다 느낌 구매
279,1356622,입다 좋다 구매 계절 예쁘다,예쁘다 느낌 생각
280,13R,좋다 예쁘다 크다 편하다 얇다,느낌 사다 코디
281,13dmsgh,예쁘다 입다 색깔 좋다 구매,예쁘다 느낌 코디
282,140284,좋다 입다 재질 추천 계절,좋다 생각 사다
283,141018,좋다 편하다 예쁘다 구매 색깔,좋다 코디 예쁘다
284,14202,예쁘다 입다 좋다 만족 라인,예쁘다 느낌 코디
285,14632,좋다 예쁘다 구매 합리 색깔,느낌 예쁘다 귀엽다
286,148cm도 어른이야,좋다 입다 구매 예쁘다 편하다,사다 코디 예쁘다
287,1495.,예쁘다 좋다 입다 색깔 크다,예쁘다 사다 코디
288,14IS,좋다 예쁘다 추천 가성비 저렴하다,예쁘다 느낌 좋다
289,15151ja,예쁘다 좋다 디자인 구매 가격,예쁘다 느낌 사다
290,1515호,예쁘다 좋다 구매 색깔 계절,예쁘다 느낌 코디
291,153620e3,좋다 사이즈 강추 재질 만족,좋다 사다 귀엽다
292,15922951,좋다 입다 사이즈 구매 색깔,사다 생각 느낌
293,159875,좋다 예쁘다 색깔 적당하다 넉넉하다,예쁘다 좋다 느낌
294,15hyun,예쁘다 구매 입다 좋다 길이,예쁘다 느낌 사다
295,15지현이,예쁘다 좋다 색깔 티셔츠 바지,예쁘다 느낌 생각
296,160819,좋다 구매 예쁘다 색깔 계절,예쁘다 좋다 느낌
297,16247,구매 입다 좋다 예쁘다 작다,느낌 코디 사다
298,164875,색깔 좋다 예쁘다 구매 입다,느낌 예쁘다 사다
299,165-53,좋다 입다 편하다 예쁘다 구매,느낌 예쁘다 코디
300,166842,구매 좋다 가격 할인 입다,느낌 사다 예쁘다
301,166cm 46kg 재수생,입다 좋다 요즘 넉넉하다 후드,사다 생각 코디
302,167816,좋다 구매 색깔 예쁘다 입다,예쁘다 사다 느낌
303,168464,구매 좋다 가격 싸다 자주,구매 느낌 사다
304,170.60.w.j,좋다 예쁘다 입다 사이즈 편하다,예쁘다 좋다 생각
305,170614,좋다 예쁘다 입다 색깔 재질,느낌 예쁘다 코디
306,171.66,입다 사이즈 좋다 예쁘다 편하다,예쁘다 느낌 생각
307,1710h,구매 좋다 만족 예쁘다 저렴하다,구매 느낌 예쁘다
308,171cm 참고하세요,좋다 만족 바지 구매 색깔,느낌 코디 예쁘다
309,172.2,좋다 넉넉하다 구매 만족 입다,느낌 사다 코디
310,173.66,좋다 예쁘다 입다 만족 굉장하다,예쁘다 느낌 사다
311,17317071,좋다 예쁘다 구매 입다 크다,예쁘다 코디 사다
312,173__,넉넉하다 사이즈 입다 구매 크다,사다 사이즈 괜찮다
313,174cm_78kg,구매 입다 좋다 계절 편하다,예쁘다 사다 바지
314,17510,입다 좋다 예쁘다 구매 크다,예쁘다 사다 코디
315,17633626,좋다 예쁘다 구매 편하다 색깔,예쁘다 느낌 사다
316,177cm코디,좋다 입다 사이즈 구매 아이템,좋다 사다 생각
317,178542,좋다 구매 예쁘다 가성비 색깔,예쁘다 좋다 느낌
318,17년3월제대,예쁘다 입다 사이즈 좋다 편하다,예쁘다 생각 느낌
319,17이다희,좋다 입다 예쁘다 구매 편하다,예쁘다 사다 코디
320,180-75,예쁘다 좋다 원하다 바지 사이즈,예쁘다 바지 생각
321,180179,좋다 예쁘다 입다 무난 괜찮다,예쁘다 느낌 사다
322,180715,입다 좋다 구매 사이즈 가격,사다 생각 예쁘다
323,1808,좋다 입다 구매 예쁘다 편하다,느낌 사다 예쁘다
324,181,구매 좋다 색깔 저렴하다 입다,구매 귀엽다 느낌
325,182320,입다 사이즈 좋다 구매 예쁘다,예쁘다 생각 사다
326,182733,예쁘다 좋다 입다 색깔 편하다,예쁘다 코디 느낌
327,1828324,예쁘다 좋다 입다 색깔 편하다,예쁘다 생각 느낌
328,183 78,좋다 입다 가성비 추천 예쁘다,좋다 생각 사다
329,183.71,좋다 예쁘다 입다 신다 구매,예쁘다 느낌 사다
330,183_cm,좋다 구매 예쁘다 사이즈 저렴하다,좋다 예쁘다 괜찮다
331,184995,예쁘다 좋다 구매 입다 가격,예쁘다 느낌 생각
332,185ho,좋다 예쁘다 입다 구매 색깔,느낌 예쁘다 사다
333,187 65,좋다 예쁘다 구매 사이즈 길이,예쁘다 느낌 사다
334,189-71,추천 좋다 색깔 사이즈 구매,추천 좋다 예쁘다
335,189_,입다 좋다 색깔 길이 계절,느낌 사다 생각
336,18거북이,좋다 예쁘다 입다 색깔 계절,느낌 예쁘다 코디
337,1900mm_,좋다 구매 편하다 예쁘다 만족,사다 느낌 좋다
338,190131,좋다 색깔 구매 사이즈 크다,사다 느낌 코디
339,190cm.,좋다 구매 입다 크다 소재,사다 생각 느낌
340,19102539,좋다 입다 구매 계절 예쁘다,느낌 사다 코디
341,191cm,좋다 사이즈 예쁘다 입다 구매,좋다 예쁘다 생각
342,1925,구매 좋다 예쁘다 사이즈 길이,느낌 사다 코디
343,1927291,좋다 예쁘다 입다 만족 구매,예쁘다 느낌 사다
344,193929,좋다 입다 예쁘다 계절 두껍다,예쁘다 느낌 생각
345,193940,좋다 구매 만족 사이즈 재질,사다 느낌 코디
346,196189,계절 좋다 입다 떨어지다 만족,느낌 사다 코디
347,19781226,좋다 색깔 예쁘다 구매 사이즈,느낌 예쁘다 사다
348,198903,입다 색깔 사이즈 넉넉하다 좋다,느낌 사다 생각
349,19950825,적당하다 좋다 길이 사이즈 예쁘다,느낌 예쁘다 사다
350,1996SS,좋다 입다 구매 예쁘다 색깔,느낌 예쁘다 코디
