,hash_id,post_count,comment_count
0,0005d9b94cb20c441de5e54d3ebbfd40,0,3
1,000e7c5b2292800b0c826dd50efdea29,0,1
2,005d59d9b4d26840bc85079bf1f30ba5,0,1
3,00911d76f27568f28d8a3d0e3fdef37e,0,1
4,00fc97b3e00b71eec9c2d1befecdceae,0,3
5,010185d3c04924e21515f79d8bfb8ef6,0,1
6,011c681177e5dead220122cb8a2f074b,0,1
7,0157b1b25cf107fec0c64ad738541a97,0,3
8,015c0f1980e66eea550d8c0ce1523c58,0,1
9,015f4cf9f5cf3204bfd3358f5c49b8bd,1,2
10,0175522088138961ea9c3c51fb70d55b,0,4
11,0185098deb69e918cfb1af8670f2a000,0,1
12,0193c7d67a726a6095326c1dd953f6fb,0,2
13,0196f2b31f52c34ed4014c55804bef6b,0,1
14,01d039345a6f11d74b1e805ae115cdbb,0,1
15,02486f15fb875be313bac4df9bc5accc,1,0
16,026a178f6b4ea6354443288fbff100a7,0,2
17,029ee8dc3d2dac59844633dc464b2876,0,1
18,02afdf34987204fc70ca1fb0efa87a8d,0,2
19,02e7cc0b86aab1ce357f4330704cffed,0,1
20,033fdb43f7e6c5bf804edc5d60f824f6,0,1
21,0353f3897a84e139867c951ddd291c3b,1,0
22,03637b1cc0c18f97e4cf1cef6e973493,0,1
23,03681232c9e1ce2d30af29832392aaa6,0,1
24,039bad0cc6db0663f6c0326dfad3d27e,0,1
25,03bdc3124f93fa0a9f8d8ff4e109eb70,0,1
26,03c35e4e84ed3fd5b113ee08d8a1c12d,0,2
27,03cc0965d3a69f098887dfe64dc0054d,0,3
28,03d77c80161fff4aa2938a0408070327,0,1
29,040b4e0fa3d4479587aa8926ead06f00,1,0
30,04353a32c9adcb3ed9215f55dc9c765c,0,3
31,046433a8218aafd5b29559c1e1545970,1,7
32,0466dc405f73991ebf884669331d4458,0,2
33,046c528cec2380a646d55cdfa8d7bd0b,0,1
34,048fef0362b59d7462c0b10aefdd1310,0,1
35,04bcf8c7b4e22f8d986b56d21365a28c,0,1
36,04c08c497d9432f62cf242c19c4ef5e4,0,2
37,04c95da8cebd7777df0d95689c9addf6,1,0
38,04fa027cc6ef9703b2f13e2239523fb3,1,0
39,05d21ea20ebb0941596a203b31da10ad,0,2
40,0606db6a4e953b7d8a4d58cb442b340c,0,1
41,060a0b5cfa89ebb68ad955bf962ce5a7,0,1
