,document,spac_doc,token_doc
0,좋아요 한재질이라 하의 찾기 차르르 적당하고무엇보다 어려운데수선없이 아니라 심플하면서 수납공간이,좋아요 한 재질이라 하의 찾기 차르르 적당하고 무엇보다 어려운데 수선 없이 아니라 심플하면서 수납공간이,"['좋다', '재질', '하의', '찾기', '적당하다', '어렵다', '수선', '심플', '수납', '공간']"
1,너무 있어서 크고 입는중 확실히 약간 거칠어요내피가 광택이 사이즈감이 따듯하긴해요,너무 있어서 크고 입는 중 확실히 약간 거칠어요 내피가 광택이 사이즈감이 따듯하긴 해요,"['크다', '입다', '확실하다', '거치다', '광택', '사이', '따다']"
2,추천추천 최고최고 지인들이잘샀다고하네요ㅎㅎ 좋은가격에잘구매했네요 또재구매할게요 너무만족합니다 너무너무좋아용 강력추천합니다,추천추천 최고 최고 지인들이 잘 샀다고 하네요 ㅎㅎ 좋은 가격에 잘 구매했네요 또 재구매할게요 너무 만족합니다 너 무너무 좋아용 강력 추천합니다,"['추천', '추천', '최고', '최고', '지인', '자다', '사다', '좋다', '가격', '자다', '구매', '만족하다', '좋다', '강력', '추천']"
3,고급지고 고급져요 너무 디퓨저를 향이네요 디퓨저는 스틱도 스타일이에요 스윗베리향으로 사르르,고급 지고 고급져요 너무 디퓨저를 향이네요 디퓨저는 스틱도 스타일이에 요 스윗베리 향으로 사르르,"['고급', '지고', '고급', '지다', '스타일']"
4,빠르고 배송도 포장도 사용했던 거여서 예전부터 기본탬으로는 이만한신발이 좋네요ㅎㅎ 없습니당,빠르고 배송도 포장도 사용했던 거여서 예전부터 기 본탬으로는 이만한 신발이 좋네요 ㅎㅎ 없습니당,"['빠르다', '배송', '포장', '사용', '예전', '이만', '신발', '좋다', '니당다']"
5,좋아요 약간 크롭한기장의 집업이라 오버핏하고 얇은 어깨 듬직해보여요 되어서 깡패핏,좋아요 약간 크롭한 기장의 집업이라 오버핏하고 얇은 어깨 듬직해 보여 요 되어서 깡패핏,"['좋다', '크롭', '기장', '집업', '오버핏', '얇다', '어깨', '깡패']"
6,유분기가 시력이 저는 그런지 좋아서 심하게 올라왔어요 없고 없는 여름이라,유분기가 시력이 저는 그런지 좋아서 심하게 올라왔어요 없고 없는 여름이라,"['분기', '좋다', '심하다', '올라오다', '여름']"
7,이뻐요 했습니다 입으려고 색감진짜 봄가을에 구매 와이드햇으면 연청에 어땟을까 아쉬운,이 뻐요 했습니다 입으려고 색감 진짜 봄 가을에 구매 와이드햇으면 연청에 어땟을까 아쉬운,"['입다', '색감', '가을', '구매', '와이드', '아쉽다']"
8,좋습니당 수납공간도 맘에 디자인 들고 넉넉해요 너무,좋습니 당 수납공간도 맘에 디자인 들 고 넉넉해요 너무,"['좋다', '수납', '공간', '디자인', '넉넉하다']"
9,좋습니다 매우 흠이지만향이 생각한거보다 이유를 워크팬츠 용량이 옷이 예쁜거 어느,좋습니다 매우 흠이지만 향이 생각한 거보다 이유를 워크팬츠 용량이 옷이 예쁜 거 어느,"['좋다', '생각', '이유', '크다', '팬츠', '용량', '예쁘다']"
10,마음에 핏도 듭니다 예뻐요 그레이와 프린트가 뽀얀 빈티지핑크빛의 조화롭고 어두운편이긴해요허리에,마음에 핏도 듭니다 예뻐요 그레이와 프린트가 뽀얀 빈티지 핑크빛의 조화롭고 어두운 편이긴 해요 허리에,"['마음', '듭니', '예쁘다', '그레이', '프린트', '빈티', '핑크', '어두운', '펴다', '허리']"
11,품질인 좋은가격에 좋은 제품입니다 입고있어요 ㅎㅎ,품질인 좋은 가격에 좋은 제품입니다 입고 있어요 ㅎㅎ,"['품질', '좋다', '가격', '좋다', '제품', '입다']"
12,너무 점도 이런 유분기가 없고 씻기고 씻겨 순하고 생각보다 뽀득뽀득합니다,너무 점도 이런 유분기가 없고 씻기고 씻겨 순하고 생각보다 뽀득 뽀득합니다,"['분기', '순하다', '생각']"
13,핏도 키뮤어의 추천드립니다 좋은 좋고 제품입니다싸서 제품 쟁여두었습니다 색감도 부드럽고,핏도 키 뮤어의 추천 드립니다 좋은 좋고 제품입니다 싸서 제품 쟁여두었습니다 색감도 부드럽고,"['추천', '드리다', '좋다', '좋다', '제품', '싸다', '제품', '색감', '부드럽다']"
14,같아요 입고 필요하고 실내에선 구매하면 나오는 니트여서 더워요 덥긴 맞을거,같아 요 입고 필요하고 실내에선 구매하면 나오는 니트여서 더워요 덥긴 맞을 거,"['입다', '필요하다', '실내', '구매', '니트', '덥다', '덥다', '맞다']"
15,사이즈도 하나더 타이트하게잡아주고 좋아서 구매예정입니다 깔끔하구요 너무좋습니다 디자인은 목부분이 늘어갈것같습니다,사이즈도 하나 더 타이트하게 잡아주고 좋아서 구매 예정입니다 깔끔하구요 너무 좋습니다 디자인은 목 부분이 늘어갈 것 같습니다,"['사이즈', '타이', '잡다', '좋다', '구매', '예정', '깔끔하다', '좋다', '디자인', '늘다', '갈다']"
16,샀어요 입으려고 휘뚜루마뚜루 약간 세일하길래 백수같아요 하네요 여름용이라 얇긴 한긴,샀어요 입으려고 휘뚜루마 뚜루 약간 세일하길래 백수 같아 요 하네요 여름용이라 얇긴 한 긴,"['사다', '입다', '휘뚜루', '휘뚜루', '여름', '용이', '얇다', '기다']"
17,저렴하게 제품은 사용합니다 믿고 구입했습니다이니스프리 항상 쓰는제품ㅎ 세일할때 무신사 득템했어요,저렴하게 제품은 사용합니다 믿고 구입했습니다이니스프리 항상 쓰는 제품 ㅎ 세일할 때 무신사 득템했어요,"['저렴하다', '제품', '사용', '믿다', '구입', '항상', '쓰다', '제품', '물다', '득템']"
18,저렴한 같습니다 가격에 프린팅이 귀여워요 이벤트때 싸게 산거,저렴한 같습니다 가격에 프린팅이 귀여워요 이벤트 때 싸게 산거,"['저렴하다', '가격', '프린팅', '귀엽다', '이벤트', '싸다', '사다']"
19,맘에 들어요 핏이 콜라보 예뻐서 색상이랑 니트반팔 프린팅도 이쁨 은근,맘에 들어 요 핏이 콜라보 예뻐서 색상이랑 니트 반 팔 프린팅도 이 쁨 은 근,"['예쁘다', '색상', '니트', '프린팅']"
20,색감도 마음에 들어요 모자 폭도 더욱 넓어서 예뿌고 깊고 구입했어요,색감도 마음에 들어 요 모자 폭도 더욱 넓어서 예뿌고 깊고 구입했어요,"['색감', '마음', '모자', '더욱', '넓다', '깊다', '구입']"
21,많이 허리가 잘맞는편입니다 크지않고 마른체형인데도 먼지가 생기긴했습니다재질특성이라 만족스러움 사이즈잘맞고 만족,많이 허리가 잘 맞는 편입니다 크지 않고 마른 체형인데도 먼지가 생기긴 했습니다 재질 특성이라 만족스러움 사이즈 잘 맞고 만족,"['허리', '자다', '맞다', '편입', '크다', '마르다', '체형', '먼지', '생기다', '재질', '특성', '만족스럽다', '사이즈', '자다', '맞다', '만족']"
22,예쁩니다 너무 코디하기에도 최고의 쫀쫀하고 질렀어요 전부터 자체가 어렵지 양말이에요,예쁩니다 너무 코디하기에도 최고의 쫀쫀하고 질렀어요 전부터 자체가 어렵지 양말이에요,"['예쁘다', '코디', '최고', '쫀쫀', '어렵다', '양말']"
23,사이즈 예뻐요 너무 잘입을게요 잘맞고 오버하게 플리스가 얇지만 넉넉해 독특하네요색감도,사이즈 예뻐요 너무 잘 입을 게요 잘 맞고 오버하게 플리스가 얇지만 넉넉해 독특하네요색감도,"['사이즈', '예쁘다', '자다', '게요', '자다', '맞다', '오버', '리스', '얇다', '넉넉하다', '독특하다', '색감']"
24,피그먼트 탄탄해서 구입했는데 기모는 매력적인 맨투맨을 소버먼트 없지만 워싱이 원단이,피그먼트 탄탄해서 구입했는데 기 모는 매력적인 맨투맨을 소버먼트 없지만 워싱이 원단이,"['피그먼트', '탄탄하다', '구입', '매력', '맨투맨', '워싱', '원단']"
25,크롭이에요 적당한 잘입고다녔어요 만족합니다,크롭이에 요 적당한 잘 입고 다녔어요 만족합니다,"['적당하다', '자다', '입다', '다니다', '만족하다']"
26,훌륭합니다 편하게 있어요 심플하면서 사용하고,훌륭합니다 편하게 있어요 심플하면서 사용하고,"['훌륭하다', '편하다', '심플', '사용']"
27,재질도좋고 이쁘고 요즘 옷자체는 색상도 배송이 마음에들어요 늦게오긴하지만,재질도 좋고 이 쁘고 요즘 옷 자체는 색상도 배송이 마음에 들어 요 늦게 오긴 하지만,"['재질', '좋다', '요즘', '색상', '배송', '마음', '늦다']"
28,있습니다 입고 좋습니다데일리로 널널해서 길고 역시 생기네요아주 색상 마다 구매욕구가,있습니다 입고 좋습니다 데일리로 널널 해서 길고 역시 생기네요아 주 색상 마다 구매 욕구가,"['입다', '좋다', '일리', '널널', '길다', '생기다', '색상', '구매']"
29,배송 좋아요 재질 잘왔구요 부들부들해서 블프인데도 빠르게 부들부들하고 빠르구요 너무,배송 좋아요 재질 잘 왔구요 부들부들해서 블프인데도 빠르게 부들부들하고 빠르구 요 너무,"['배송', '좋다', '재질', '자다', '부들부들하다', '빠르다', '부들부들하다', '빠르다']"
30,않아서 두껍지 핏에 날씨에 넉넉한 딱입니다 요즘 실키하진않지만 뻣뻣하지도않음 두번째,않아서 두껍지 핏에 날씨에 넉넉한 딱입니다 요즘 실키하진 않지만 뻣뻣하지도 않음 두 번째,"['두껍다', '날씨', '넉넉하다', '딱이다', '요즘', '하진', '뻣뻣하다', '번째']"
31,진짜 있는 이뻐요카고느낌도 유니크하고 바지 오버핏화이트진이라 포인트주기좋아요 머리 커요 우먼으로,진짜 있는 이 뻐 요카고 느낌도 유니크하고 바지 오버핏 화이트진이라 포인트 주기 좋아요 머리 커요 우먼으로,"['느낌', '유니크', '바지', '오버핏', '화이트', '포인트', '주기', '좋다', '머리', '크다']"
32,예뻐요 색상이 수납도 근데 옷은 요거요거 이뻐요다른거는 있어서핏이 모자깊이가 얘는,예뻐요 색상이 수납도 근데 옷은 요거요거 이 뻐요다른 거는 있어서 핏이 모자 깊이가 얘는,"['예쁘다', '색상', '수납', '모자', '깊이']"
33,특이해서 쪼이지 종아리 있을 입을 일자로 않고 시원해요 부분이 부담없이,특이해서 쪼이지 종아리 있을 입을 일자로 않고 시원해요 부분이 부담 없이,"['특이하다', '쪼이다', '일자', '시원하다', '부담']"
34,한걸지도ㅋ 컬러톤도 쫀쫀하고 쫀쫀 않고 생각보다 무난합니다살쪄서 나쁘지,한 걸 지도ㅋ 컬러 톤도 쫀쫀하고 쫀쫀 않고 생각보다 무난합니다 살쪄서 나쁘지,"['지도', '컬러', '쫀쫀', '쫀쫀', '생각', '무난', '나쁘다']"
35,필요해서 큰감이 코튼 있습니다 소재의 사이즈 니트가 구매,필요해서 큰감이 코튼 있습니다 소재의 사이즈 니트가 구매,"['필요하다', '크다', '코튼', '소재', '사이즈', '니트', '구매']"
36,아주 신체정보에 사이즈좋고 빨라오 배송이 딱이네요 포장이 스럽네요 상품도 배송빠르고,아주 신체정보에 사이즈 좋고 빨라오 배송이 딱이네요 포장이 스럽네요 상품도 배송 빠르고,"['아주', '신체', '사이즈', '좋다', '배송', '딱이다', '포장', '상품', '배송', '빠르다']"
37,성세사진과 빨랐어요 배송 만족해요 동일합니다,성세 사진과 빨랐어요 배송 만족해요 동일합니다,"['사진', '빠르다', '배송', '만족하다', '동일하다']"
38,맘에 드네요 하는 주황빛이었으면 약간더 바람이었지만 그래도 흰색에 포인트가 있는게,맘에 드네요 하는 주 황빛이었으면 약간 더 바람이었지만 그래도 흰색에 포인트가 있는 게,"['드네', '바라다', '흰색', '포인트']"
39,가격에 좋은 좋아요 요즘 따가운 샀어요 햇빛 찹찹하니 얇고 이미스,가격에 좋은 좋아요 요즘 따가 운 샀어요 햇빛 찹찹하니 얇고 이 미스,"['가격', '좋다', '좋다', '요즘', '따갑다', '사다', '햇빛', '얇다', '미스']"
40,예쁘고 입을게요 패턴 들어갑니다잘산거같아요 질감좋고매듭도 무난하구요 화면에 색상이 사게되는 브랜드,예쁘고 입을 게요 패턴 들어갑니다 잘산 거 같아 요 질감 좋고 매듭도 무난하구요 화면에 색상이 사게 되는 브랜드,"['예쁘다', '게요', '패턴', '들어가다', '잘살다', '질감', '좋다', '무난', '화면', '색상', '사다', '브랜드']"
41,너무 마음에 드네요 늦었지만 반품 배송은 하나는 시켰는데 시켰습니다이건 바지는,너무 마음에 드네요 늦었지만 반품 배송은 하나는 시켰는데 시켰습니다 이건 바지는,"['마음', '드네', '늦다', '반품', '배송', '바지']"
42,좋고 너무 가격도 추천합니다 좋습니다신축성도 소재가 레깅스보다 입고벗기도편해요 착용감 기능성이라,좋고 너무 가격도 추천합니다 좋습니다 신축성도 소재가 레깅스보다 입고 벗기도 편해 요 착용 감 기능성이라,"['좋다', '가격', '추천', '좋다', '신축', '완성도', '소재', '레깅스', '입다', '벗기다', '편하다', '착용', '기능']"
43,색감이 특이하고 예쁘네요 실물이 소재가 부드러워요 차별성이 있는 완전한 아니라,색감이 특이하고 예쁘네요 실물이 소재가 부드러워요 차별성이 있는 완전한 아니라,"['색감', '특이하다', '예쁘다', '실물', '소재', '부드럽다']"
44,가성비 좋아요 패드에 미쳤습니다 적신다음에 일단 다를바 없습니다 얇은편이고 멀리서보면,가성비 좋아요 패드에 미쳤습니다 적신 다음에 일단 다를 바 없습니다 얇은 편이고 멀리서 보면,"['가성비', '좋다', '패드', '미치다', '다르다', '얇다', '편이']"
45,좋아요 샀는데 너무 쿨링소재라 원단도 운동할때 쓰려고 하고 입을게요 싶어서,좋아요 샀는데 너무 쿨링 소재라 원단도 운동할 때 쓰려고 하고 입을 게요 싶어서,"['좋다', '사다', '소재', '원단', '운동', '쓰다', '게요']"
46,좋아요 입기 캐쥬얼하게 적당히 안나고 싼티 흰티입니다 회사옷 에도 안에,좋아요 입기 캐쥬얼하게 적당히 안 나고 싼티 흰티입니다 회사 옷 에도 안에,"['좋다', '입다', '쥬얼', '적당하다', '싸다', '희다', '회사', '에도']"
47,한치수 크게입으려고 크게사요부들부들하니 좋네요 오버핏으로,한 치수 크게 입으려고 크게 사요부들부들 하니 좋네요 오버핏으로,"['치수', '크게', '입다', '크게', '부들부들', '하니', '좋다', '오버핏']"
48,입을 편하게 제품들 너무 좋아요 엉덩이 이쁘네요 오버핏으로 덮이고 후드티로,입을 편하게 제품들 너무 좋아요 엉덩이 이쁘네요 오버핏으로 덮이고 후드티로,"['편하다', '제품', '좋다', '엉덩이', '예쁘다', '오버핏', '후드']"
49,구매했어요 향도 보랏빛 같은 구경하다가 귀여운 나요 너무 단종되면 달콤한,구매했어요 향도 보랏빛 같은 구경하다가 귀여운 나요 너무 단종되면 달콤한,"['구매', '귀엽다', '나요']"
50,디자인도 너무 가방 좋아요 가방이구요 놓쳐서 맘에드는데어깨끈이 어깨위로떠서난감하네요반품기간을 어떻게해야할지모르겠네요 적게넣으면끈이,디자인도 너무 가방 좋아요 가방이구요 놓쳐서 맘에 드는데 어깨끈이 어깨 위로 떠서 난감하네요 반품 기간을 어떻게 해야 할지 모르겠네요 적게 넣으면 끈이,"['디자인', '가방', '좋다', '가방', '이구', '어깨', '어깨', '뜨다', '반품', '기간', '적다', '넣다']"
51,정말 많이 제품 얇은 원단이 있는데편하기는 감은 편해요 토니호크 세일기간에,정말 많이 제품 얇은 원단이 있는데 편하기는 감은 편해요 토니 호크 세일 기간에,"['제품', '얇다', '원단', '편하다', '감다', '편하다', '기간']"
52,편해요 다른 같아요 입을 자주 여름에도 유니크해서 있을 잘입을것 후기처럼,편해요 다른 같아 요 입을 자주 여름에도 유니크해서 있을 잘 입을 것 후기처럼,"['편하다', '자주', '여름', '에도', '유니크', '자다', '후기']"
53,들어서 마음에 역시나 구매했고 프린팅이 짱짱합니다 해골 좀비 일단 오디너리,들어서 마음에 역시나 구매했고 프린팅이 짱짱합니다 해골 좀비 일단 오디너리,"['들어서다', '마음', '구매', '프린팅', '짱짱하다']"
54,핏이라 찰랑찰랑 입을 여름 얇고 시원한 두께감 같아요 가을,핏이라 찰랑찰랑 입을 여름 얇고 시원한 두께감 같아 요 가을,"['여름', '얇다', '시원하다', '두께', '가을']"
55,하나도 핑크 느낌그래도 레이어드라던지하면 무난템으론 물탄 뭔가 밍밍한 빨강색이라옷에 빨라서,하나도 핑크 느낌 그래도 레이어 드라던 지하면 무난템으론 물탄 뭔가 밍밍한 빨강색이라 옷에 빨라서,"['핑크', '느낌', '레이어', '지하', '무난', '뭔가']"
56,사이즈 그래도 오버핏으로 있어 신어서 힘드네유 잘신을께요 딱인디 신었을때는 싸게,사이즈 그래도 오버핏으로 있어 신어서 힘드네 유 잘 신을께요 딱 인디 신었을 때는 싸게,"['사이즈', '오버핏', '신어', '힘드다', '자다', '신다', '신다', '싸다']"
57,정말 너무 여름을 잘되겠지요ㅋ 배송빠르네요ㅋ가격대비 기다리고 귀엽습니다 만족합니다포장상태 좋구요단백질샴푸 바지,정말 너무 여름을 잘 되겠지요 ㅋ 배송 빠르네요 ㅋ 가격 대비 기다리고 귀엽습니다 만족합니다 포장 상태 좋구요 단백질 샴푸 바지,"['여름', '자다', '배송', '빠르다', '가격', '대비', '기다리다', '귀엽다', '만족하다', '포장', '상태', '좋다', '샴푸', '바지']"
58,마음에 들어요 들고 만족해요 다닐 같아서 가벼워서 스트링도 밑단 가격도,마음에 들어 요 들 고 만족해요 다닐 같아서 가 벼워서 스트링도 밑단 가격도,"['마음', '만족하다', '다니다', '벼워', '스트링', '밑단', '가격']"
59,좋고 넉넉해서 사이즈가 원단으 오버핏으로 마음에듭니다 소재는 얇고 수납이 부드럽습니다,좋고 넉넉해서 사이즈가 원단으 오버핏으로 마음에 듭니다 소재는 얇고 수납이 부드럽습니다,"['좋다', '넉넉하다', '사이즈', '원단', '오버핏', '마음', '듭니', '소재', '얇다', '수납', '부드럽다']"
60,좋아요 좋고 여유있게 오버핏 핏은 나와주는거같아서 소매통부분이 아닌적당히 쭈굴쭈굴한거 자연스럽게,좋아요 좋고 여유 있게 오버핏 핏은 나와주는 거 같아서 소매 통 부분이 아닌 적당히 쭈굴쭈굴한 거 자연스럽게,"['좋다', '좋다', '여유', '오버핏', '소매', '적당하다', '자연', '스럽게']"
61,편하고 좋어요 자동이라 않아서 사용하기 비싸지 가격도,편하고 좋어요 자동이라 않아서 사용하기 비싸지 가격도,"['편하다', '좋다', '자동', '사용', '비싸다', '가격']"
62,살짝 타이트하게 퀄리티로 절대없죠 올레더 사이즈는 나온 같은데이가격에 힙하게 크리틱,살짝 타이트하게 퀄리티로 절대 없죠 올레더 사이즈는 나온 같은 데이 가격에 힙하게 크리틱,"['살짝', '타이', '퀄리티', '레더', '사이즈', '가격', '힙하', '크리']"
63,역시 매우 만족입니다 쿠어제품이네요편하게 굿입니다 입기도좋고데일리로 힛탠다드네요 따뜻하다고 좋아하시네요 재구매각,역시 매우 만족입니다 쿠어 제품이 네 요 편하게 굿입니다 입기도 좋고 데일리로 힛탠다드네요 따뜻하다고 좋아하시네요 재구 매각,"['만족', '쿠어', '제품', '편하다', '입다', '좋다', '일리', '다드', '따뜻하다', '좋아하다']"
64,같아요 좋아요 입기 투툼해서 여름엔 더울것 가을에 원단 원하더 좋을거,같아 요 좋아요 입 기 투툼해서 여름엔 더울 것 가을에 원단 원하더 좋을 거,"['좋다', '여름', '덥다', '가을', '원단', '원하다', '좋다']"
65,색감이 많이 굉장히 색을 전체적인 세월의 반해 미색인데 지퍼색은 하얘서,색감이 많이 굉장히 색을 전체적인 세월의 반해 미 색인데 지퍼 색은 하얘서,"['색감', '굉장하다', '전체', '반하다', '밉다', '지퍼']"
66,좋아요 카키랑 보고 고민했는데 요즘 그냥 워낙 쫀쫀 포인트 하나,좋아요 카키랑 보고 고민했는데 요즘 그냥 워낙 쫀쫀 포인트 하나,"['좋다', '카키', '고민', '요즘', '워낙', '쫀쫀', '포인트']"
67,좋아서 평이 컬러감도 짧습니다 좋고 셔츠들에 비하여 만족스럽습니다다른 다소 기장이,좋아서 평이 컬러감도 짧습니다 좋고 셔츠들에 비하여 만족스럽습니다 다른 다소 기장이,"['좋다', '컬러', '감다', '짧다', '좋다', '셔츠', '만족스럽다', '기장']"
68,편해요 조금 뻣뻣한 멋있어요 그럼에도 느낌이어서 약간 아쉽네요 소재가 핏은,편해요 조금 뻣뻣한 멋있어요 그럼에도 느낌이어서 약간 아쉽네요 소재가 핏은,"['편하다', '뻣뻣하다', '느낌', '아쉽다', '소재']"
69,너무 사이즈가 그냥 크네요 입어야죠 오버사이즈로 생가보다 낭패입니다ㅎㅎ 커요근데 주문한건데,너무 사이즈가 그냥 크네요 입어야 죠 오버사이즈로 생가보다 낭패입니다ㅎㅎ 커요 근데 주문한 건데,"['사이즈', '크다', '입다', '오버', '사이즈', '크다', '주문', '건데']"
70,마음에 좋고 듭니다 샴프도 상태도 미니멀하고 편해서 초반대 입기도 사서,마음에 좋고 듭니다 샴프도 상태도 미니멀하고 편해서 초반대 입기도 사서,"['마음', '좋다', '듭니', '상태', '미니', '멀다', '편하다', '입다', '사서']"
71,좋은 같아요 포인트로 가장 파자마는 코디할 주기 무난하고 스파오가 보들보들하고,좋은 같아 요 포인트로 가장 파자마는 코디할 주기 무난하고 스파오가 보들보들하고,"['좋다', '포인트', '코디', '주기', '무난', '보들보들하다']"
72,여름에 두께감이 확실히 좋아요 그래도 첫향만 대부분이에요 달달한향이 달달한 잔향인,여름에 두께감이 확실히 좋아요 그래도 첫 향만 대부분이에 요 달달한 향이 달달한 잔 향인,"['여름', '두께', '확실하다', '좋다']"
73,함은 연청에 두께이고 목부분이 아쉬운점이라고 않아요 엄청 여름에 예쁠 짱짱하진,함은 연청에 두께이 고 목 부분이 아쉬운 점이라고 않아 요 엄청 여름에 예쁠 짱짱하진,"['두께', '아쉽다', '여름', '예쁘다', '짱짱하다']"
74,좋네요 여행갈때 쓰려고 샀는데 빠르고 배송도 무난하게 디자인도,좋네요 여행 갈 때 쓰려고 샀는데 빠르고 배송도 무난하게 디자인도,"['좋다', '여행', '갈다', '쓰다', '사다', '빠르다', '배송', '무난', '디자인']"
75,마음에 제일 배경 안넓어보여요 샀고 사진 사이즈 보지말아주세요ㅜ 배색이 하나쯤,마음에 제일 배경 안 넓어 보여 요 샀고 사진 사이즈 보지 말아주세요 ㅜ 배색이 하나쯤,"['마음', '넓다', '사다', '사진', '사이즈', '말다', '배색']"
76,하나씩 하나 좋아요 입이 상쾌하고 바로 먹으면 먹어보고 만족스러워서 구매했습니다,하나씩 하나 좋아요 입이 상쾌하고 바로 먹으면 먹어보고 만족스러워서 구매했습니다,"['좋다', '먹다', '먹다', '만족스럽다', '구매']"
77,핏도 추천드려요 좋아요 좋고 원단 옷은 약간 무거워요,핏도 추천 드려요 좋아요 좋고 원단 옷은 약간 무거워요,"['추천', '드리다', '좋다', '좋다', '원단', '무거워']"
78,입기 딱좋아요 겨울철이나 가을에 잘입겠습니다 이너로 겨울에 적당히 가격이며 좀심하지만,입기 딱 좋아요 겨울철이나 가을에 잘 입겠습니다 이너로 겨울에 적당히 가격이며 좀 심하지만,"['입다', '좋다', '가을', '자다', '입다', '겨울', '적당하다', '가격', '이며', '심하다']"
79,생각보다 엄청 좋아요 짱짱해서 같진 금방 늘어날 두툼하진 빨리 않네용,생각보다 엄청 좋아요 짱짱 해서 같진 금방 늘어날 두툼하진 빨리 않네용,"['생각', '좋다', '짱짱', '금방', '늘어나다', '하진', '빨리']"
80,핏도 있는 없고 나쁘지않아요 귀욤뽀짝하고 니트베스트의 다잠그면 단추도 귀여워요 뽀짝해보일,핏도 있는 없고 나쁘지 않아 요 귀욤뽀짝하고 니트 베스트의 다 잠그면 단추도 귀여워요 뽀짝해 보일,"['나쁘다', '니트', '베스트', '단추', '귀엽다']"
81,핏이 톤다운된 것보다 고르기가 깊어서 나와있는 느낌이라 듯하네요 머리가 모자,핏이 톤 다운된 것보다 고르기가 깊어서 나와 있는 느낌이라 듯 하네요 머리가 모자,"['다운', '고르다', '깊다', '느낌', '머리', '모자']"
82,마음에 들어요 너무 사세요 하나는 커서 저는 좋고 니트에요 귀여운,마음에 들어 요 너무 사세요 하나는 커서 저는 좋고 니트에 요 귀여운,"['마음', '사다', '커서', '좋다', '니트', '귀엽다']"
83,편해요 촉촉하고 제품입니다 쓰던 순하면서 사용하기 계속,편해요 촉촉하고 제품입니다 쓰던 순하면서 사용하기 계속,"['편하다', '촉촉하다', '제품', '쓰다', '순하다', '사용']"
84,평소에 전해들었습돠 적어야 잘샀고 잘맞는 잘맞네요칼발에 이쁘네요 와이프한테 싸게 신었는데,평소에 전해 들었습 돠 적어야 잘 샀고 잘 맞는 잘 맞네요 칼발에 이 쁘네요 와이프한테 싸게 신었는데,"['평소', '적다', '자다', '사다', '자다', '맞다', '자다', '맞다', '예쁘네', '와이프', '싸다', '신다']"
85,빠르고 너무 이쁩니다너무너무 옷이 배송이 만족해요 편해요 입기 원단도 얇지,빠르고 너무 이쁩니 다 너무너무 옷이 배송이 만족해요 편해요 입기 원단도 얇지,"['빠르다', '예쁘다', '배송', '만족하다', '편하다', '입다', '원단', '얇다']"
86,엄청 너무 신발 같은 좋던데요 안신은거 가벼워서 영롱해서 있어요 잘쓰고,엄청 너무 신발 같은 좋던데요 안신은 거 가벼워서 영롱해서 있어요 잘 쓰고,"['신발', '좋다', '신다', '가볍다', '자다', '쓰다']"
87,너무 좋아서 가을에 컬러로 입을거같아요 포인트 주기가 유용하게 합니다 샀습니다,너무 좋아서 가을에 컬러로 입을 거 같아 요 포인트 주기가 유용하게 합니다 샀습니다,"['좋다', '가을', '컬러', '포인트', '주기', '유용하다', '사다']"
88,핏이 예쁩니다 귀여워요 세탁하고 ㅋㅋ 줄어들지않기를지금 입었슬때 일단 원하는 입을만하네요,핏이 예쁩니다 귀여워요 세탁하고 ㅋㅋ 줄어들지 않기를 지금 입었슬 때 일단 원하는 입을 만하네요,"['예쁘다', '귀엽다', '세탁', '줄어들다', '원하다']"
89,너무 다른 구매 이건 맞았는데 인데도 색은 맞아요 아내가 사람한테도,너무 다른 구매 이건 맞았는데 인데도 색은 맞아요 아내가 사람한테도,"['구매', '맞다', '맞다', '사람']"
90,자주 이거만한 여름엔 없네요 쓰게 샀어요 되니까,자주 이거만한 여름엔 없네요 쓰게 샀어요 되니까,"['자주', '여름', '쓰다', '사다']"
91,핏도 좋고 잘입을게요 옷도 예쁘네여 만족합니다,핏도 좋고 잘 입을 게요 옷도 예쁘네 여 만족합니다,"['좋다', '자다', '게요', '예쁘다', '만족하다']"
92,좋습니다 사이즈도 촉감도 좋아요 심플하고 만족스럽습니다 딱맞고 디테일도 두께도 굉장히,좋습니다 사이즈도 촉감도 좋아요 심플하고 만족스럽습니다 딱 맞고 디테일도 두께도 굉장히,"['좋다', '사이즈', '촉감', '좋다', '심플', '만족스럽다', '맞다', '디테일', '일도', '두께', '굉장하다']"
93,핏도 프린팅 존예네요 적당하고 이쁘고 색감 두께도 너무,핏도 프린팅 존 예네요 적당하고 이 쁘고 색 감 두께도 너무,"['프린팅', '적당하다', '두께']"
94,구매했는데 입으려고 할인해서 예뻐요무난무난해요 맘에들어요 레귤러핏으로 깔끔하게 접어서 작아요 오버핏으로,구매했는데 입으려고 할인해서 예뻐요무 난무난해요 맘에 들어 요 레귤러 핏으로 깔끔하게 접어서 작아 요 오버핏으로,"['구매', '입다', '할인', '예쁘다', '레귤러', '깔끔하다', '접다', '작다', '오버핏']"
95,이쁩니다 같아요 발림성이에요 없고로고가 맑은레드라 바지라서 기본스타일 제형 보송한 포인트돼서,이쁩니다 같아 요 발림성이에요 없고 로고가 맑은 레드라 바지라서 기본 스타일 제형 보송한 포인트 돼서,"['예쁘다', '발림', '로고', '레드', '바지', '기본', '스타일', '포인트']"
