,document,spac_doc,token_doc
2972,많이파세요 최고최고 좋은가격에잘구매했네요 생각한그대로입니다 또재구매할게요 너무만족합니다 가족들이잘샀다고하네요 추천할게요 정말너무마음에드네요 너무너무좋아용,많이 파세요 최고 최고 좋은 가격에 잘 구매했네요 생각한 그대로입니다 또 재구매할게요 너무 만족합니다 가족들이 잘 샀다고 하네요 추천할게요 정말 너무 마음에 드네요 너무너무 좋아용,"['파다', '최고', '최고', '좋다', '가격', '자다', '구매', '생각', '그대로', '만족하다', '가족', '자다', '사다', '추천', '마음', '드네', '좋다']"
2973,좋습니다 느낌이 큼지막합니다 조거아닌 적당히 일단 캐주얼하면서도 있어 빈티지하고 밀리터리,좋습니다 느낌이 큼지 막합니다 조거 아닌 적당히 일단 캐주얼하면서도 있어 빈티지하고 밀리터리,"['좋다', '느낌', '크다', '적당하다', '빈티', '지하', '밀리터리']"
2974,재질 최고네요 정말예뻐서맑은 수건 느낌인데그린컬러가 헤져서 하나빠지는게없음 삿어요 매일입어서 년동안,재질 최고네요 정말 예뻐서 맑은 수건 느낌인데 그린 컬러가 헤져서 하나 빠지는 게 없음 삿어요 매일 입어서 년 동안,"['재질', '최고', '예쁘다', '느낌', '그린', '컬러', '빠지다', '삿어', '매일', '입다']"
2975,후드집업 편하게 토피 좋아요 입기 색깔별로 샀어요 그만큼,후드집업 편하게 토피 좋아요 입기 색깔별로 샀어요 그만큼,"['후드', '집업', '편하다', '토피', '좋다', '입다', '색깔', '별로', '사다']"
2976,핑크셔츠를 핑크색이면 편하게 전체가 있을 입을 입고 싶긴한데 스트라이프라서 셔츠입니다,핑크 셔츠를 핑크색이면 편하게 전체가 있을 입을 입고 싶긴 한데 스트라이프라서 셔츠입니다,"['핑크', '셔츠', '핑크색', '편하다', '전체', '입다', '스트라이프', '셔츠']"
2977,입을게요 인기많던 이유를 이쁩니다 알겠어요 안입는데도 스트릿 만족합니다 들어가고싶더라구요,입을 게요 인기 많던 이유를 이쁩니다 알겠어요 안 입는데도 스트릿 만족합니다 들어가고 싶더라구요,"['게요', '인기', '많다', '이유', '예쁘다', '입다', '스트릿', '만족하다', '들어가다']"
2978,같아요 구매했어요 흰색 색이 괜찮은 민망했는데 바지용으로 보니 ㅎㅎ 않아,같아 요 구매했어요 흰색 색이 괜찮은 민망했는데 바지용으로 보니 ㅎㅎ 않아,"['구매', '흰색', '괜찮다', '바지']"
2979,입을게요 입으면 열심히 스타일 봄에 끝입니다월부터 그걸로,입을 게요 입으면 열심히 스타일 봄에 끝입니다월부터 그걸로,"['게요', '입다', '스타일']"
2980,너무 색감도 귀엽고 퐁신퐁신해서 젛아요 신을게요 워싱감도 나머지는 두껍긴한데 두께가,너무 색감도 귀엽고 퐁 신퐁신해서 젛아요 신을 게요 워싱감도 나머지는 두껍긴 한데 두께가,"['색감', '귀엽다', '게요', '나머지', '두껍다', '두께']"
2981,무난합니다 한것같네요 저렴한가격으로 아이템하나구입 입을때 실밥 소리가 뜯기는 놀랐어요그외에는 나서,무난합니다 한 것 같네요 저렴한 가격으로 아이템 하나 구입 입을 때 실밥 소리가 뜯기는 놀랐어요 그 외에는 나서,"['무난', '저렴하다', '가격', '아이템', '구입', '실밥', '소리', '나서다']"
