,user_id,keywords_by_frequency,keywords_by_similarity
101,01650039,좋다 예쁘다 입다,생각 만족스럽다 코디
102,01년생 승원,입다 좋다 적당하다,코디 사다 귀엽다
103,01보,귀엽다 좋다 양말,귀엽다 쓰다 코디
104,01빈,예쁘다 좋다 사다,사다 코디 쓰다
105,01큐종,좋다 예쁘다 사다,생각 사다 코디
106,02020202002,좋다 느낌 예쁘다,코디 느낌 귀엽다
107,020818,좋다 예쁘다 자다,생각 쓰다 귀엽다
108,022155,입다 마음 좋다,마음 생각 코디
109,02356,좋다 사이즈 만족하다,쓰다 귀엽다 코디
110,02young_,예쁘다 좋다 편하다,생각 코디 사다
111,0303m,예쁘다 제품 좋다,예쁘다 제품 만족스럽다
112,031231,좋다 만족 최고,쓰다 코디 사다
113,03125,예쁘다 가격 좋다,코디 예쁘다 생각
114,0317s,좋다 치수 크게,생각 코디 괜찮다
115,0320abc,좋다 입다 파다,사다 쓰다 생각
116,03301,좋다 입다 자다,쓰다 생각 귀엽다
117,0381938,예쁘다 좋다 자주,예쁘다 생각 코디
118,03_dnjs,좋다 예쁘다 입다,생각 코디 사다
119,03d_.0,좋다 입다 배송,생각 쓰다 귀엽다
120,03h,입다 예쁘다 좋다,생각 코디 쓰다
121,0400,좋다 예쁘다 만족하다,코디 생각 쓰다
122,040401s,입다 좋다 예쁘다,생각 쓰다 코디
123,04072206,좋다 입다 예쁘다,생각 만족스럽다 귀엽다
124,0416.J,좋다 입다 예쁘다,코디 귀엽다 쓰다
125,04281545,좋다 상품 품질,좋다 만족스럽다 만족하다
126,0472818,예쁘다 좋다 필요하다,생각 코디 예쁘다
127,04_29._.br,예쁘다 좋다 입다,코디 생각 쓰다
128,04e3,예쁘다 좋다 입다,생각 코디 귀엽다
129,04sjy03,입다 좋다 자다,생각 쓰다 귀엽다
130,04wltjs04,좋다 입다 예쁘다,코디 생각 쓰다
131,05 syyu,생각 예쁘다 그대로,생각 코디 쓰다
132,05 옷알못,좋다 자다 편하다,생각 쓰다 코디
133,0516.,좋다 쿠션 피부,쓰다 사다 생각
134,06.l1,예쁘다 좋다 자다,코디 쓰다 생각
135,0607jangjh,생각 살짝 괜찮다,생각 코디 쓰다
136,06104,좋다 배송 자다,귀엽다 쓰다 생각
137,06X22,좋다 예쁘다 크다,코디 생각 쓰다
138,070202,구매 편하다 좋다,생각 마음 코디
139,0706joy,좋다 입다 사다,생각 쓰다 사다
140,07joon,좋다 예쁘다 괜찮다,생각 괜찮다 코디
141,08028,좋다 바르다 생각,쓰다 생각 느낌
142,0820jin,좋다 입다 크다,생각 코디 귀엽다
143,0902욜로,좋다 입다 사다,사다 귀엽다 코디
144,0914HM1025,좋다 입다 사다,생각 사다 귀엽다
145,098764,좋다 사이즈 색감,귀엽다 생각 코디
146,099999,좋다 입다 예쁘다,생각 코디 쓰다
147,09AN,좋다 순하다 예쁘다,사다 쓰다 생각
148,09_11,좋다 입다 예쁘다,생각 쓰다 코디
149,09즐라탄이브라히모비치,좋다 깔끔하다 색감,코디 귀엽다 만족스럽다
150,0Mm_.odo.3,좋다 입다 배송,생각 쓰다 귀엽다
151,0SUN0,좋다 자다 쓰다,쓰다 생각 사다
152,0_01234,좋다 구매 똑같다,코디 귀엽다 쓰다
153,0_6,좋다 다니다 가방,쓰다 코디 사다
154,0__2xs,좋다 후드 소재,코디 쓰다 사다
155,0_________0,좋다 자다 저렴하다,쓰다 생각 사다
156,0_da,자다 예쁘다 귀엽다,귀엽다 쓰다 코디
157,0_geun,예쁘다 입다 좋다,코디 생각 쓰다
158,0_wooooooooooo,입다 구매 느낌,코디 생각 쓰다
159,0_zoooo,입다 크다 사다,사다 코디 생각
160,0_“,좋다 예쁘다 괜찮다,코디 느낌 생각
161,0dumb,좋다 자다 입다,생각 코디 쓰다
162,0epi1,좋다 구입 착용,생각 코디 귀엽다
163,0gyuni,좋다 괜찮다 구매,생각 쓰다 코디
164,0hj7,좋다 자다 디자인,코디 생각 귀엽다
165,0hwanee,좋다 입다 만족하다,코디 생각 쓰다
166,0in_k_,좋다 입다 적당하다,생각 코디 사다
167,0kins,구매 후드 집업,구매 코디 사다
168,0kr,좋다 생각 자다,귀엽다 쓰다 사다
169,0l_chaewon,예쁘다 자다 좋다,생각 코디 귀엽다
170,0m2h,예쁘다 좋다 생각,생각 코디 귀엽다
171,0mgnsk___1121,예쁘다 좋다 디자인,예쁘다 코디 생각
172,0min22,마음 좋다 자다,쓰다 코디 마음
173,0pen_the_cl0set,좋다 제품 깔끔하다,생각 코디 쓰다
174,0qop0,좋다 믿다 항상,생각 쓰다 귀엽다
175,0sezero,입다 좋다 자다,생각 사다 쓰다
176,0sikmarrang,좋다 사이즈 재질,생각 코디 귀엽다
177,0ss,좋다 배송 구매,귀엽다 생각 쓰다
178,0too,좋다 만족하다 제품,쓰다 코디 생각
179,0w0b,입다 좋다 사다,사다 생각 쓰다
180,0wert,예쁘다 좋다 자다,생각 쓰다 예쁘다
181,0winter0,좋다 예쁘다 입다,생각 코디 쓰다
182,0괴물0,좋다 재질 빠지다,쓰다 코디 사다
183,0뚜찌빠찌0,좋다 생각 자다,생각 쓰다 코디
184,0몽돌0,배송 빠르다 좋다,귀엽다 만족스럽다 쓰다
185,0소우주0,좋다 예쁘다 색감,코디 생각 느낌
186,0오니즈카0,좋다 추천 색깔,생각 쓰다 괜찮다
187,0쟈니0,좋다 입다 크다,생각 귀엽다 사다
188,0준이형,좋다 무난 가격,사다 생각 무난
189,0짱나라0,배송 빠르다 자다,귀엽다 쓰다 만족스럽다
190,0찬,구매 좋다 사다,사다 코디 만족스럽다
191,0피르미누0,좋다 사다 추천,사다 좋다 귀엽다
192,0황도0,입다 자다 좋다,생각 쓰다 귀엽다
193,0휴일,좋다 입다 자다,귀엽다 코디 쓰다
194,1 4,좋다 맞다 편하다,코디 귀엽다 생각
195,1+1=!!,좋다 가격 입다,생각 만족스럽다 사다
196,1.618033988,좋다 구매 자다,생각 사다 귀엽다
197,1000001,좋다 자다 재질,쓰다 사다 생각
198,10000JA,입다 사이즈 좋다,생각 코디 쓰다
199,1000_ys,좋다 구매 적당하다,코디 사다 쓰다
200,1000ㅎㅈ,좋다 예쁘다 사이즈,귀엽다 생각 쓰다
201,1000규,좋다 구매 편하다,쓰다 구매 생각
202,1000만원,감사하다 좋다 살다,만족스럽다 쓰다 귀엽다
203,1000프,좋다 사다 크다,사다 귀엽다 생각
204,1004ye,좋다 자다 사다,사다 생각 코디
205,1004희야,좋다 입다 크다,생각 코디 쓰다
206,100G1,좋다 예쁘다 사다,생각 코디 사다
207,100_js_,느낌 좋다 니트,코디 느낌 생각
208,100m공유,좋다 구매 마음,사다 코디 마음
209,100ㅇㅈ,좋다 구매 생각,생각 쓰다 코디
210,100서현,좋다 자다 재질,쓰다 코디 귀엽다
211,100프로자연미인,좋다 입다 자다,쓰다 생각 코디
212,102,좋다 입다 사이즈,생각 코디 쓰다
213,1020292929,예쁘다 좋다 입다,생각 코디 사다
214,1029476,사다 좋다 입다,사다 쓰다 생각
215,102TV,좋다 구매 사이즈,생각 코디 사다
216,1030D,입다 편하다 만족하다,쓰다 생각 코디
