,hash_id,post_count,comment_count
0,0005d9b94cb20c441de5e54d3ebbfd40,0,3
1,000e7c5b2292800b0c826dd50efdea29,0,1
2,0032d75d966f76b602e204033f6c9d5d,0,1
3,005d59d9b4d26840bc85079bf1f30ba5,0,1
4,00615a103698cd3bee28fddab2fbc7a8,0,1
5,0071f9c31195765cf1ec44513841c7ce,0,1
6,00763148fc5b044b6fef93b4978d437a,0,1
7,00911d76f27568f28d8a3d0e3fdef37e,0,1
8,00fc97b3e00b71eec9c2d1befecdceae,0,3
9,010185d3c04924e21515f79d8bfb8ef6,0,1
10,011a93e0f2598f290592b8a4b84adb90,1,0
11,011c681177e5dead220122cb8a2f074b,0,1
12,0157b1b25cf107fec0c64ad738541a97,0,3
13,015c0f1980e66eea550d8c0ce1523c58,0,1
14,015f4cf9f5cf3204bfd3358f5c49b8bd,1,2
15,0175522088138961ea9c3c51fb70d55b,0,4
16,0185098deb69e918cfb1af8670f2a000,0,1
17,0193c7d67a726a6095326c1dd953f6fb,0,2
18,0196f2b31f52c34ed4014c55804bef6b,0,1
19,01d039345a6f11d74b1e805ae115cdbb,0,1
20,022844de4d9ff2e08b816914e201fe49,0,1
21,02486f15fb875be313bac4df9bc5accc,1,0
22,026a178f6b4ea6354443288fbff100a7,0,2
23,029ee8dc3d2dac59844633dc464b2876,0,1
24,02afdf34987204fc70ca1fb0efa87a8d,0,2
25,02e7cc0b86aab1ce357f4330704cffed,0,1
26,03180480f96d3d23c4fc310afaa377a3,0,1
27,033fdb43f7e6c5bf804edc5d60f824f6,0,1
28,0353f3897a84e139867c951ddd291c3b,1,0
29,03637b1cc0c18f97e4cf1cef6e973493,0,1
30,03681232c9e1ce2d30af29832392aaa6,0,1
31,039bad0cc6db0663f6c0326dfad3d27e,0,1
32,03bdc3124f93fa0a9f8d8ff4e109eb70,0,1
33,03c35e4e84ed3fd5b113ee08d8a1c12d,0,2
34,03cc0965d3a69f098887dfe64dc0054d,0,3
35,03d77c80161fff4aa2938a0408070327,0,1
36,040b4e0fa3d4479587aa8926ead06f00,1,0
37,041652c1fd8353ce34bf9b67582d6524,0,1
38,04353a32c9adcb3ed9215f55dc9c765c,0,3
39,046433a8218aafd5b29559c1e1545970,1,7
40,0466dc405f73991ebf884669331d4458,0,2
41,046c528cec2380a646d55cdfa8d7bd0b,0,1
